City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,homer,59.6425,-151.5483,41.04,86,0,0.0,US,1684420335
133,chaykovskiy,56.7686,54.1148,66.56,34,0,8.28,RU,1684420174
134,isangel,-19.55,169.2667,77.7,87,52,7.2,VU,1684420336
135,simod,7.4758,125.3408,74.55,91,100,0.72,PH,1684420175
136,ath thawrah,35.8469,38.5443,85.08,24,93,21.14,SY,1684420175
137,el alamo,40.2307,-3.9945,72.48,16,0,12.01,ES,1684420176
138,price,39.5994,-110.8107,61.86,41,0,5.75,US,1684420337
139,lundazi,-12.2929,33.1782,81.45,39,47,3.06,ZM,1684420176
140,kingston,17.997,-76.7936,88.25,67,20,13.8,JM,1684419981
141,neiafu,-18.65,-173.9833,77.68,88,20,13.8,TO,1684420339
142,nelson bay,-32.7167,152.15,55.0,97,39,7.0,AU,1684420177
143,walvis bay,-22.9575,14.5053,67.15,63,0,12.66,NA,1684420177
144,tazovsky,67.4667,78.7,36.34,100,100,15.5,RU,1684420177
145,dubbo,-32.25,148.6167,41.13,87,2,10.36,AU,1684420340
146,bardai,11.65,7.2333,97.9,27,100,5.55,NG,1684420178
147,pavlovka,52.6897,47.1405,67.33,47,6,11.01,RU,1684420178
148,al balyana,26.2357,32.0035,92.93,10,0,20.24,EG,1684420179
149,tawau,4.2498,117.8871,78.93,84,98,1.32,MY,1684420341
150,el granada,37.5027,-122.4694,57.92,91,100,9.22,US,1684420178
151,nagqu,31.5,92.0,33.15,81,100,3.04,CN,1684420341
152,mweka,-4.85,21.5667,92.86,37,43,1.54,CD,1684420179
153,lubang,13.8584,120.124,84.61,74,99,5.3,PH,1684420341
154,richards bay,-28.783,32.0377,71.65,77,37,8.97,ZA,1684420179
155,ponta delgada,37.7333,-25.6667,70.52,78,75,8.05,PT,1684420342
156,zhanaozen,43.3,52.8,67.15,49,18,19.66,KZ,1684420180
157,hami,42.8,93.45,76.1,9,19,6.91,CN,1684420180
158,nikolayevsk-on-amure,53.1406,140.73,40.21,93,100,4.52,RU,1684420343
159,aasiaat,68.7098,-52.8699,30.99,96,99,4.34,GL,1684420181
160,gyanpur,25.35,82.4667,94.95,16,0,6.76,IN,1684420181
161,klaksvik,62.2266,-6.589,49.12,88,100,24.63,FO,1684420343
162,north ward,-19.2454,146.8075,58.91,88,21,0.0,AU,1684420182
163,hasaki,35.7333,140.8333,74.21,68,100,22.48,JP,1684420344
164,mountain brook,33.5009,-86.7522,71.42,95,100,4.61,US,1684420182
165,lompoc,34.6391,-120.4579,54.79,97,100,5.75,US,1684420183
166,la passe,45.5549,-0.8967,66.43,52,100,17.43,FR,1684420183
167,burao,9.5221,45.5336,89.08,30,100,12.84,SO,1684420184
168,benjamin aceval,-24.9667,-57.5667,77.59,55,0,6.91,PY,1684420184
169,eyl,7.9803,49.8164,86.85,70,6,18.01,SO,1684420184
170,karystos,38.0133,24.4161,70.79,65,43,1.81,GR,1684420185
171,viqueque,-8.8673,126.3658,75.2,80,60,5.64,TL,1684420347
172,bulungu,-4.55,18.6,80.38,76,100,1.95,CD,1684420185
173,kavaratti,10.5669,72.642,85.62,70,39,10.0,IN,1684420348
174,rawala kot,33.8578,73.7604,56.7,74,95,6.82,PK,1684420186
175,calvi,42.5,8.8333,57.83,82,75,6.91,FR,1684420186
176,bargaal,11.2864,51.0773,86.29,76,32,6.53,SO,1684420186
177,east end,34.5507,-92.341,75.67,79,0,6.49,US,1684420186
178,kamyshlov,56.8428,62.7111,58.28,41,100,10.94,RU,1684420186
179,tamanrasset,22.785,5.5228,93.11,9,40,9.22,DZ,1684420349
180,pogradec,40.9025,20.6525,60.8,79,78,4.88,AL,1684420349
181,naze,28.3667,129.4833,72.52,89,85,17.67,JP,1684420187
182,rio brilhante,-21.8019,-54.5464,70.38,57,0,6.11,BR,1684420187
183,muscat,23.6139,58.5922,95.02,41,0,8.03,OM,1684420188
184,vinh,18.6667,105.6667,87.98,50,23,4.74,VN,1684420188
185,chudovo,59.1167,31.6833,61.79,34,48,6.6,RU,1684420188
186,segezha,63.7415,34.3222,48.81,58,100,13.24,RU,1684420188
187,dongola,19.1667,30.4833,108.77,6,0,16.44,SD,1684420188
188,al kharijah,25.4514,30.5464,91.13,10,0,17.76,EG,1684420351
189,lorengau,-2.0226,147.2712,80.19,84,100,14.34,PG,1684420189
190,iwon-up,40.3231,128.6553,57.58,74,100,6.2,KP,1684420189
191,tralee,52.2704,-9.7026,57.45,88,100,9.22,IE,1684420265
192,la'ie,21.6477,-157.9253,73.36,81,91,4.0,US,1684420352
193,bikenibeu village,1.3673,173.1241,84.16,79,20,8.05,KI,1684420352
194,bubaque,11.2833,-15.8333,80.49,70,100,10.87,GW,1684420190
195,hammerfest,70.6634,23.6821,41.45,65,75,13.8,NO,1684420352
196,gorodovikovsk,46.0878,41.9335,68.04,58,65,5.73,RU,1684420353
197,luorong,24.4058,109.6086,75.34,89,98,3.91,CN,1684420353
198,port mathurin,-19.6833,63.4167,79.29,78,23,16.73,MU,1684420353
199,ilhabela,-23.7781,-45.3581,72.99,55,31,1.45,BR,1684420190
200,codrington,-38.2667,141.9667,47.79,93,48,6.33,AU,1684420191
201,amalapuram,16.5833,82.0167,84.4,82,18,8.46,IN,1684420191
202,emerald,-23.5333,148.1667,53.94,49,0,8.37,AU,1684420354
203,tafuna,-14.3358,-170.72,79.77,87,100,17.96,AS,1684420355
204,argo,37.6333,22.7333,74.79,51,85,2.89,GR,1684420355
205,katsuura,35.1333,140.3,69.75,79,100,20.74,JP,1684420192
206,north battleford,52.7834,-108.2847,42.89,61,0,10.36,CA,1684420192
207,barcelos,41.5388,-8.6151,75.69,29,99,5.73,PT,1684420193
208,delice,39.9537,34.0259,65.57,61,45,11.63,TR,1684420193
209,siniscola,40.5719,9.6922,65.75,70,99,6.85,IT,1684420193
210,san antonio de pale,-1.4014,5.6325,81.16,81,100,15.32,GQ,1684420193
211,nantucket,41.2835,-70.0995,53.74,35,0,11.5,US,1684420194
212,fisterra,42.9049,-9.2629,73.74,60,92,25.48,ES,1684420357
213,les sables-d'olonne,46.6667,-1.8333,66.99,65,100,12.41,FR,1684420194
214,rizokarpaso,35.6,34.375,68.0,69,100,17.34,CY,1684420357
215,kolondieba,11.0882,-6.8926,97.68,34,90,3.65,ML,1684420195
216,itaituba,-4.2761,-55.9836,84.36,79,75,0.0,BR,1684420358
217,garachico,28.7781,-17.7646,70.48,64,20,17.27,ES,1684420358
218,linhares,-19.3911,-40.0722,78.67,46,66,7.29,BR,1684420358
219,capitan bado,-23.2667,-55.5333,68.0,61,0,11.1,PY,1684420195
220,ilomantsi,62.6716,30.9328,44.71,80,100,11.23,FI,1684420107
221,chonchi,-42.6128,-73.8092,49.21,83,96,7.38,CL,1684420196
222,cidade velha,14.9167,-23.6167,81.07,57,75,21.85,CV,1684420196
223,chibuto,-24.6867,33.5306,83.43,43,94,5.06,MZ,1684420196
224,olivenza,38.6832,-7.103,79.32,11,1,11.18,ES,1684420359
225,ust-nera,64.5667,143.2,37.08,98,99,8.32,RU,1684420196
226,vila velha,-20.3297,-40.2925,76.95,59,20,18.41,BR,1684420359
227,rio tuba,8.5061,117.4317,82.27,75,76,3.38,PH,1684420360
228,ratnagiri,16.9833,73.3,83.89,77,0,13.13,IN,1684420360
229,yuzhno-kurilsk,44.0306,145.8556,44.08,97,100,3.67,RU,1684420360
230,diboll,31.1871,-94.781,78.22,77,0,3.44,US,1684420197
231,hithadhoo,-0.6,73.0833,83.3,78,9,7.92,MV,1684420361
232,lisala,2.15,21.5167,94.91,35,32,3.36,CD,1684420198
233,tondano,1.3038,124.9112,69.89,94,98,3.18,ID,1684420198
234,woodward,36.4337,-99.3904,67.96,86,100,8.05,US,1684420361
235,hamilton,39.1834,-84.5333,61.61,55,0,5.75,US,1684420082
236,solnechnyy,50.7214,136.6319,47.57,87,77,5.12,RU,1684420199
237,orzysz,53.8097,21.9481,57.2,56,100,8.9,PL,1684420362
238,vorgashor,67.5833,63.95,43.43,99,100,9.89,RU,1684420362
239,luocheng,29.3848,104.0286,68.02,85,96,2.1,CN,1684420199
240,itoman,26.1247,127.6694,79.18,94,75,13.8,JP,1684420362
241,conception bay south,47.4999,-52.9981,44.55,85,100,15.28,CA,1684420200
242,los frentones,-26.4077,-61.4137,68.56,59,100,2.95,AR,1684420363
243,jaguaquara,-13.5306,-39.9708,76.69,61,92,5.23,BR,1684419931
244,cidreira,-30.1811,-50.2056,69.31,66,1,12.24,BR,1684420124
245,masterton,-40.9597,175.6575,49.89,74,100,3.51,NZ,1684420201
246,dryden,49.7833,-92.7503,48.49,93,100,6.91,CA,1684420364
247,ilha de mocambique,-15.0342,40.7358,79.3,70,15,8.77,MZ,1684420201
248,horta,38.5333,-28.6333,71.24,78,20,5.75,PT,1684420202
249,nuku'alofa,-21.1333,-175.2,75.54,83,20,11.5,TO,1684420202
250,zambezi,-13.5432,23.1047,84.09,35,85,0.74,ZM,1684420203
251,dankov,53.2515,39.1555,71.82,47,19,5.48,RU,1684420203
252,zhangjiakou,40.81,114.8794,57.16,73,99,10.87,CN,1684420365
253,lome,6.1375,1.2123,84.36,70,20,4.61,TG,1684420050
254,port blair,11.6667,92.75,83.25,77,39,6.26,IN,1684420207
255,bangar,16.8936,120.4243,82.06,80,78,1.43,PH,1684420207
256,inowroclaw,52.7989,18.2639,62.55,55,100,9.1,PL,1684420365
257,touros,-5.1989,-35.4608,86.05,65,96,11.12,BR,1684419986
258,anzio,41.4853,12.6179,68.86,73,93,8.28,IT,1684420210
259,selfoss,63.9331,-20.9971,51.04,97,100,12.95,IS,1684420367
260,la esperanza,14.8667,-91.5667,62.53,91,100,0.0,GT,1684420210
261,baki,-7.6128,110.7839,73.38,86,97,6.55,ID,1684420211
